                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,      train/loss_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,      train/loss_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
111,0.78796,0.51888,1.2401,8.02929,0.8474,0.50712,1.2743,8.52051,0.90512,0.95844,0.97597,0.75932,0.84286,0.44402,1.3614,0.85803,0.37064,1.3634,0.0046045,0.0046045,0.0046045
112,0.78273,0.51193,1.2364,7.98104,0.84437,0.49443,1.2729,8.48934,0.92819,0.94811,0.97873,0.75871,0.84524,0.43924,1.3785,0.85512,0.39217,1.3955,0.004555,0.004555,0.004555
113,0.76958,0.51041,1.2299,7.871905,0.83058,0.49863,1.2726,8.387565,0.94041,0.926,0.97783,0.76493,0.83716,0.4503,1.3606,0.84829,0.38349,1.3845,0.0045055,0.0045055,0.0045055
114,0.77482,0.50562,1.218,7.89096,0.82987,0.49312,1.254,8.351585,0.94791,0.93399,0.98079,0.76679,0.82637,0.43886,1.3542,0.84445,0.35761,1.3713,0.004456,0.004456,0.004456
115,0.77595,0.51851,1.2367,7.93393,0.83902,0.50684,1.278,8.46307,0.92239,0.94132,0.97879,0.76871,0.81859,0.44721,1.3376,0.84914,0.37636,1.3576,0.0044065,0.0044065,0.0044065
116,0.77069,0.50499,1.2263,7.87212,0.8325,0.49345,1.2707,8.396525,0.9212,0.94322,0.97982,0.7604,0.84979,0.44673,1.3665,0.86673,0.38065,1.4061,0.004357,0.004357,0.004357
117,0.76784,0.50633,1.218,7.838965,0.82639,0.4883,1.2598,8.331775,0.92317,0.94008,0.98052,0.76664,0.82554,0.44897,1.336,0.8386,0.37324,1.3675,0.0043075,0.0043075,0.0043075
118,0.75542,0.49999,1.2119,7.733495,0.81822,0.4797,1.2591,8.26515,0.91057,0.9511,0.9783,0.76,0.82329,0.45675,1.3342,0.84354,0.39398,1.3696,0.004258,0.004258,0.004258
119,0.76872,0.51682,1.2268,7.86401,0.82893,0.503,1.2717,8.376025,0.90587,0.93888,0.97443,0.76526,0.8221,0.4571,1.3346,0.84026,0.38805,1.3592,0.0042085,0.0042085,0.0042085
120,0.75929,0.49801,1.212,7.76168,0.81896,0.48703,1.2521,8.263865,0.92085,0.93877,0.97483,0.76029,0.82182,0.45469,1.3452,0.82549,0.39623,1.3504,0.004159,0.004159,0.004159
121,0.74876,0.50621,1.2055,7.677055,0.80342,0.49455,1.2419,8.135775,0.91007,0.94026,0.9754,0.76965,0.83085,0.43027,1.3584,0.84143,0.39012,1.3713,0.0041095,0.0041095,0.0041095
122,0.75496,0.49803,1.2205,7.741965,0.81517,0.4884,1.2598,8.247675,0.93213,0.94021,0.97969,0.77239,0.81308,0.4324,1.3414,0.83252,0.37709,1.359,0.00406,0.00406,0.00406
