               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,      train/loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
150,0.015459,0.0099349,0,0.0872299,0.94676,0.95659,0.98278,0.79321,0.01691,0.0079466,0,0.0026245,0.0026245,0.0026245
151,0.015487,0.0099959,0,0.0874309,0.93891,0.95599,0.98201,0.79613,0.016764,0.0077787,0,0.002575,0.002575,0.002575
152,0.015189,0.0098634,0,0.0858084,0.94205,0.95387,0.98312,0.79856,0.016665,0.0076578,0,0.0025255,0.0025255,0.0025255
153,0.015385,0.0098101,0,0.0867351,0.92933,0.96463,0.9833,0.79655,0.01659,0.0078254,0,0.002476,0.002476,0.002476
154,0.015355,0.0097448,0,0.0865198,0.94341,0.97066,0.98496,0.79907,0.016701,0.0078128,0,0.0024265,0.0024265,0.0024265
155,0.015127,0.010005,0,0.08564,0.9472,0.96493,0.98294,0.79244,0.01654,0.0078211,0,0.002377,0.002377,0.002377
156,0.015148,0.0096991,0,0.0854391,0.93375,0.96496,0.98155,0.79316,0.016704,0.0080264,0,0.0023275,0.0023275,0.0023275
157,0.015182,0.0097834,0,0.0856934,0.95619,0.9605,0.98324,0.79276,0.016737,0.0079316,0,0.002278,0.002278,0.002278
158,0.015054,0.0097545,0,0.0850245,0.95627,0.96245,0.98304,0.79634,0.01664,0.007957,0,0.0022285,0.0022285,0.0022285
159,0.014979,0.0094736,0,0.0843686,0.95364,0.95555,0.98237,0.80002,0.01656,0.0079686,0,0.002179,0.002179,0.002179
160,0.01507,0.0096821,0,0.0850321,0.93864,0.97311,0.98211,0.79493,0.016602,0.0079034,0,0.0021295,0.0021295,0.0021295
161,0.014859,0.00956,0,0.083855,0.94501,0.96645,0.98133,0.79203,0.016648,0.0081109,0,0.00208,0.00208,0.00208
162,0.01497,0.0093912,0,0.0842412,0.94972,0.95844,0.98126,0.7966,0.016738,0.0080118,0,0.0020305,0.0020305,0.0020305
163,0.015002,0.0094912,0,0.0845012,0.94534,0.96088,0.98238,0.79686,0.016511,0.0080428,0,0.001981,0.001981,0.001981
164,0.014856,0.0093521,0,0.0836321,0.94072,0.97066,0.98216,0.79702,0.016611,0.008072,0,0.0019315,0.0019315,0.0019315
165,0.01485,0.0096051,0,0.0838551,0.93222,0.97527,0.98337,0.79937,0.01644,0.0080538,0,0.001882,0.001882,0.001882
166,0.014983,0.0094701,0,0.0843851,0.944,0.96822,0.98364,0.79655,0.016516,0.0080453,0,0.0018325,0.0018325,0.0018325
167,0.014577,0.0095256,0,0.0824106,0.94329,0.978,0.98322,0.79641,0.01652,0.0080062,0,0.001783,0.001783,0.001783
168,0.014563,0.0092886,0,0.0821036,0.92309,0.978,0.98223,0.79923,0.016495,0.0079825,0,0.0017335,0.0017335,0.0017335
