epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,1085.88,0.79462,0.53426,1.21325,8.046655,0.93521,0.95844,0.97613,0.78793,0.83226,0.45079,1.29926,0.0046045,0.0046045,0.0046045
111,1095.53,0.79321,0.53592,1.21861,8.04495,0.94367,0.94201,0.97661,0.78289,0.82358,0.45772,1.28437,0.004555,0.004555,0.004555
112,1104.97,0.79642,0.5323,1.21963,8.068745,0.93245,0.95355,0.97738,0.78679,0.82148,0.45353,1.29783,0.0045055,0.0045055,0.0045055
113,1114.57,0.78925,0.52407,1.22108,8.01303,0.92351,0.95355,0.97657,0.78977,0.81483,0.46541,1.28876,0.004456,0.004456,0.004456
114,1124.23,0.80059,0.52897,1.23513,8.121605,0.91641,0.96494,0.98112,0.79029,0.81298,0.45425,1.2876,0.0044065,0.0044065,0.0044065
115,1133.92,0.78568,0.5255,1.21347,7.975555,0.93839,0.94132,0.9772,0.78892,0.82811,0.44514,1.28693,0.004357,0.004357,0.004357
116,1143.93,0.78315,0.51106,1.20437,7.93571,0.92539,0.97066,0.97492,0.786,0.8138,0.44572,1.27379,0.0043075,0.0043075,0.0043075
117,1153.37,0.78383,0.5188,1.20892,7.951505,0.92248,0.95355,0.97752,0.7828,0.82657,0.46184,1.28946,0.004258,0.004258,0.004258
118,1162.9,0.7793,0.51636,1.20238,7.9065,0.9245,0.95801,0.97657,0.79136,0.81436,0.44462,1.28437,0.0042085,0.0042085,0.0042085
119,1172.59,0.78095,0.51453,1.20413,7.920585,0.9248,0.96225,0.97519,0.7881,0.81009,0.44754,1.2865,0.004159,0.004159,0.004159
120,1182.23,0.77765,0.51967,1.21112,7.90889,0.92628,0.95242,0.97524,0.78807,0.82632,0.44508,1.30649,0.0041095,0.0041095,0.0041095
121,1191.9,0.78899,0.51586,1.20818,7.987625,0.95316,0.94537,0.97745,0.79203,0.80413,0.44664,1.2708,0.00406,0.00406,0.00406
122,1201.55,0.77731,0.50914,1.19805,7.88147,0.92333,0.97164,0.97958,0.79371,0.81408,0.45102,1.28295,0.0040105,0.0040105,0.0040105
123,1211.22,0.77949,0.512,1.20531,7.91014,0.93455,0.94254,0.97227,0.78533,0.81398,0.46976,1.26831,0.003961,0.003961,0.003961
124,1220.98,0.78052,0.51016,1.20373,7.914575,0.92655,0.95618,0.97584,0.79119,0.82496,0.45533,1.28605,0.0039115,0.0039115,0.0039115
125,1230.63,0.76183,0.50974,1.1962,7.762895,0.92893,0.95869,0.97512,0.78362,0.82789,0.45785,1.29855,0.003862,0.003862,0.003862
126,1240.33,0.7708,0.49762,1.20026,7.8302,0.94767,0.93888,0.97735,0.79484,0.8068,0.43365,1.27283,0.0038125,0.0038125,0.0038125
127,1250.05,0.76254,0.50981,1.18916,7.757695,0.93999,0.93888,0.97515,0.79239,0.79921,0.44185,1.26113,0.003763,0.003763,0.003763
128,1259.71,0.75384,0.49738,1.18034,7.673,0.92565,0.95844,0.98049,0.79168,0.80685,0.44416,1.27041,0.0037135,0.0037135,0.0037135
129,1269.33,0.75594,0.4946,1.18371,7.692415,0.89711,0.98062,0.97214,0.78791,0.80231,0.45241,1.26744,0.003664,0.003664,0.003664
130,1279,0.74621,0.49528,1.1837,7.619765,0.9077,0.96173,0.97706,0.79617,0.80483,0.45519,1.27273,0.0036145,0.0036145,0.0036145
131,1288.63,0.75246,0.48577,1.18242,7.659965,0.92365,0.97604,0.98106,0.79586,0.80652,0.43687,1.28013,0.003565,0.003565,0.003565
132,1298.15,0.7539,0.48598,1.18203,7.670285,0.93277,0.9511,0.97661,0.7946,0.81081,0.4461,1.28127,0.0035155,0.0035155,0.0035155
133,1307.96,0.75241,0.49318,1.18704,7.670225,0.93724,0.94931,0.97667,0.79215,0.8078,0.44478,1.28753,0.003466,0.003466,0.003466
134,1317.76,0.74523,0.48917,1.18329,7.608745,0.92886,0.95765,0.97538,0.79339,0.79613,0.44146,1.27232,0.0034165,0.0034165,0.0034165
135,1327.6,0.75335,0.48688,1.18887,7.67687,0.92528,0.97066,0.97535,0.79142,0.80646,0.44297,1.28429,0.003367,0.003367,0.003367
136,1337.25,0.74841,0.48558,1.18277,7.63002,0.92762,0.97311,0.98162,0.79983,0.80146,0.44198,1.27289,0.0033175,0.0033175,0.0033175
137,1346.83,0.74324,0.48393,1.18345,7.59144,0.90561,0.98044,0.97932,0.79306,0.80894,0.442,1.27736,0.003268,0.003268,0.003268
138,1356.24,0.74414,0.49154,1.18589,7.605655,0.91745,0.96822,0.97495,0.7913,0.80955,0.44102,1.29685,0.0032185,0.0032185,0.0032185
139,1365.98,0.74108,0.48008,1.17959,7.567525,0.93269,0.9487,0.97667,0.79547,0.80245,0.44103,1.2954,0.003169,0.003169,0.003169
140,1375.73,0.73093,0.47861,1.17481,7.483495,0.91993,0.96822,0.97486,0.78448,0.82135,0.4426,1.30142,0.0031195,0.0031195,0.0031195
141,1385.41,0.72991,0.46179,1.16546,7.45341,0.92717,0.96498,0.9751,0.78925,0.81027,0.44309,1.28936,0.00307,0.00307,0.00307
142,1395.04,0.7352,0.46869,1.17054,7.504155,0.91913,0.97262,0.97442,0.79651,0.79774,0.46057,1.27301,0.0030205,0.0030205,0.0030205
143,1404.61,0.73193,0.47402,1.17308,7.486105,0.91284,0.97306,0.97272,0.79363,0.79831,0.45091,1.27394,0.002971,0.002971,0.002971
144,1414.22,0.73143,0.46958,1.16463,7.46746,0.91281,0.9727,0.97721,0.80125,0.80156,0.43518,1.27454,0.0029215,0.0029215,0.0029215
145,1424.01,0.73412,0.47145,1.16644,7.491285,0.92022,0.95883,0.97746,0.79839,0.80842,0.44356,1.2873,0.002872,0.002872,0.002872
146,1433.64,0.72853,0.46433,1.16596,7.44508,0.94109,0.94377,0.9782,0.79478,0.81073,0.43166,1.29037,0.0028225,0.0028225,0.0028225
147,1443.26,0.72642,0.46702,1.16336,7.4267,0.93098,0.95633,0.97889,0.79634,0.82052,0.43351,1.29673,0.002773,0.002773,0.002773
148,1452.87,0.71767,0.46681,1.15817,7.353185,0.92706,0.96334,0.97875,0.80237,0.80538,0.42897,1.27311,0.0027235,0.0027235,0.0027235
149,1462.61,0.71973,0.46886,1.15574,7.366015,0.92011,0.95748,0.98027,0.79919,0.80697,0.43617,1.27957,0.002674,0.002674,0.002674
150,1472.12,0.70889,0.45742,1.14784,7.267145,0.93952,0.94959,0.9753,0.79956,0.80428,0.43151,1.27504,0.0026245,0.0026245,0.0026245
151,1481.79,0.71249,0.45903,1.15288,7.30251,0.94011,0.95946,0.975,0.79531,0.80654,0.44017,1.27806,0.002575,0.002575,0.002575
152,1491.62,0.72184,0.46105,1.15847,7.38203,0.9287,0.96577,0.9778,0.7998,0.80621,0.436,1.27274,0.0025255,0.0025255,0.0025255
153,1501.14,0.70869,0.45393,1.148,7.26414,0.93641,0.96088,0.97641,0.80129,0.79789,0.43367,1.26115,0.002476,0.002476,0.002476
154,1510.65,0.71198,0.45676,1.15132,7.29521,0.94036,0.96382,0.97444,0.79102,0.80732,0.43752,1.27555,0.0024265,0.0024265,0.0024265
155,1520.19,0.71853,0.46201,1.15711,7.355645,0.93176,0.96819,0.97574,0.79928,0.80588,0.42849,1.26444,0.002377,0.002377,0.002377
156,1529.84,0.70436,0.44931,1.14016,7.217595,0.93818,0.96477,0.97647,0.80048,0.8061,0.42625,1.26421,0.0023275,0.0023275,0.0023275
157,1539.44,0.70823,0.45803,1.1459,7.25959,0.92237,0.96822,0.9776,0.8026,0.7967,0.42073,1.26237,0.002278,0.002278,0.002278
158,1549.17,0.70665,0.4493,1.14901,7.24804,0.93559,0.95844,0.97525,0.79479,0.80739,0.42453,1.28654,0.0022285,0.0022285,0.0022285
159,1558.76,0.70139,0.44236,1.13865,7.18958,0.91929,0.97465,0.97406,0.79473,0.80959,0.43651,1.28472,0.002179,0.002179,0.002179
160,1568.64,0.71022,0.45913,1.14866,7.279205,0.93874,0.95599,0.97662,0.80254,0.80966,0.43401,1.27035,0.0021295,0.0021295,0.0021295
161,1578.52,0.70004,0.44694,1.13805,7.180845,0.93595,0.97066,0.9785,0.7982,0.80512,0.42613,1.28076,0.00208,0.00208,0.00208
162,1588.27,0.69964,0.45403,1.14597,7.19327,0.92884,0.96577,0.9767,0.799,0.8151,0.43453,1.28682,0.0020305,0.0020305,0.0020305
163,1597.83,0.69697,0.44832,1.13884,7.159695,0.93683,0.95355,0.97808,0.80067,0.81014,0.43253,1.27735,0.001981,0.001981,0.001981
164,1607.35,0.69594,0.45133,1.14009,7.15535,0.93335,0.96088,0.97784,0.80347,0.79873,0.42834,1.27736,0.0019315,0.0019315,0.0019315
165,1617.11,0.70107,0.4502,1.14308,7.197745,0.9277,0.97555,0.97853,0.80751,0.79457,0.43127,1.27067,0.001882,0.001882,0.001882
166,1627.04,0.68685,0.43388,1.12442,7.054945,0.92723,0.96578,0.9777,0.80658,0.80146,0.42397,1.2819,0.0018325,0.0018325,0.0018325
167,1636.73,0.6895,0.4403,1.12558,7.07977,0.939,0.95844,0.97588,0.80201,0.79428,0.42549,1.26698,0.001783,0.001783,0.001783
168,1646.24,0.69272,0.44917,1.13451,7.12175,0.92566,0.97416,0.97745,0.80635,0.79526,0.42067,1.26834,0.0017335,0.0017335,0.0017335
169,1655.63,0.69416,0.44156,1.13184,7.12474,0.93198,0.97149,0.97786,0.80527,0.80409,0.4211,1.27781,0.001684,0.001684,0.001684
170,1665.16,0.67916,0.43456,1.12467,6.997985,0.92771,0.97262,0.97848,0.80579,0.79642,0.41333,1.27085,0.0016345,0.0016345,0.0016345
171,1674.68,0.68924,0.43948,1.13437,7.090595,0.93405,0.96577,0.97737,0.80408,0.7971,0.42857,1.269,0.001585,0.001585,0.001585
172,1684.53,0.69081,0.43976,1.13813,7.10815,0.93322,0.96577,0.97438,0.8059,0.7933,0.43386,1.26634,0.0015355,0.0015355,0.0015355
173,1694.21,0.67662,0.42761,1.12282,6.972685,0.94302,0.96088,0.97167,0.80181,0.79598,0.41684,1.27312,0.001486,0.001486,0.001486
