epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,2992.03,0.63085,0.40123,1.10848,0.93762,0.95544,0.97976,0.80531,0.76065,0.41643,1.29922,0.004456,0.004456,0.004456
114,3018.04,0.63127,0.40325,1.11448,0.91617,0.95844,0.97989,0.80131,0.78434,0.42098,1.32426,0.0044065,0.0044065,0.0044065
115,3043.92,0.62042,0.39766,1.09955,0.93625,0.96944,0.98396,0.80117,0.77947,0.39681,1.31698,0.004357,0.004357,0.004357
116,3070,0.61577,0.38755,1.0954,0.95347,0.93399,0.98293,0.80272,0.78492,0.4284,1.30654,0.0043075,0.0043075,0.0043075
117,3096.17,0.62083,0.39397,1.10025,0.9213,0.96088,0.98229,0.80148,0.7911,0.4201,1.32039,0.004258,0.004258,0.004258
118,3122.27,0.6143,0.38871,1.09197,0.93528,0.95398,0.97976,0.79913,0.79595,0.42432,1.32084,0.0042085,0.0042085,0.0042085
119,3148.22,0.60993,0.3853,1.08645,0.93316,0.95844,0.98291,0.80332,0.78132,0.42885,1.30799,0.004159,0.004159,0.004159
120,3174.17,0.60339,0.38191,1.09114,0.92499,0.96486,0.98362,0.79289,0.81022,0.43133,1.36616,0.0041095,0.0041095,0.0041095
121,3200.23,0.62052,0.3863,1.09563,0.94772,0.93643,0.98308,0.80037,0.7869,0.40602,1.32238,0.00406,0.00406,0.00406
122,3226.41,0.60796,0.38435,1.08416,0.93073,0.96577,0.98383,0.80008,0.79665,0.40444,1.3228,0.0040105,0.0040105,0.0040105
123,3252.56,0.6078,0.37801,1.09291,0.92753,0.97015,0.98386,0.80612,0.78694,0.42281,1.31012,0.003961,0.003961,0.003961
124,3278.66,0.60997,0.37929,1.08931,0.92694,0.96333,0.98387,0.80093,0.79814,0.42256,1.30974,0.0039115,0.0039115,0.0039115
125,3304.66,0.59272,0.3814,1.07959,0.93036,0.95844,0.98354,0.80824,0.78292,0.40551,1.3075,0.003862,0.003862,0.003862
126,3330.67,0.59186,0.36387,1.07782,0.94356,0.9402,0.98315,0.79978,0.78491,0.43768,1.31122,0.0038125,0.0038125,0.0038125
127,3356.78,0.58803,0.37433,1.07518,0.93846,0.9511,0.98083,0.80311,0.77759,0.43244,1.30574,0.003763,0.003763,0.003763
128,3382.89,0.59186,0.36818,1.07432,0.944,0.94793,0.98142,0.80346,0.79108,0.42397,1.32251,0.0037135,0.0037135,0.0037135
129,3408.93,0.58212,0.36266,1.06782,0.94196,0.94621,0.97947,0.79301,0.7978,0.43127,1.33224,0.003664,0.003664,0.003664
130,3435.63,0.58055,0.36501,1.06963,0.91999,0.95355,0.97811,0.78987,0.79062,0.44989,1.32122,0.0036145,0.0036145,0.0036145
131,3461.79,0.58039,0.36189,1.06451,0.93091,0.95542,0.98276,0.80766,0.77374,0.41958,1.30026,0.003565,0.003565,0.003565
132,3488.03,0.58648,0.3634,1.06621,0.92008,0.95706,0.97791,0.80235,0.77914,0.43555,1.30637,0.0035155,0.0035155,0.0035155
133,3514.21,0.57839,0.36984,1.07057,0.93003,0.96577,0.98415,0.80903,0.76049,0.40689,1.29857,0.003466,0.003466,0.003466
134,3541.02,0.56773,0.35921,1.05943,0.9485,0.95355,0.98329,0.80727,0.77525,0.41164,1.30412,0.0034165,0.0034165,0.0034165
135,3567.08,0.57885,0.35895,1.07032,0.94369,0.96333,0.98416,0.80392,0.76761,0.41896,1.30301,0.003367,0.003367,0.003367
136,3593.13,0.57137,0.35865,1.05939,0.94855,0.94669,0.98244,0.80838,0.76415,0.41409,1.30641,0.0033175,0.0033175,0.0033175
137,3619.32,0.57395,0.36333,1.06342,0.94665,0.95444,0.98369,0.80394,0.77865,0.41146,1.31571,0.003268,0.003268,0.003268
138,3645.36,0.5718,0.36344,1.05992,0.94124,0.9511,0.97833,0.80233,0.77301,0.42432,1.31142,0.0032185,0.0032185,0.0032185
139,3671.45,0.56376,0.35317,1.05785,0.93983,0.9547,0.98162,0.80109,0.77868,0.43307,1.30968,0.003169,0.003169,0.003169
140,3697.57,0.55639,0.34912,1.0557,0.95055,0.94621,0.97866,0.80481,0.76933,0.42169,1.31453,0.0031195,0.0031195,0.0031195
141,3723.54,0.55722,0.34163,1.04954,0.94003,0.95815,0.97939,0.80681,0.77157,0.43776,1.30521,0.00307,0.00307,0.00307
