epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,2150.06,0.60904,0.37464,1.07622,0.93833,0.96723,0.977,0.80019,0.78844,0.39944,1.29547,0.002476,0.002476,0.002476
154,2163.74,0.61072,0.38428,1.07482,0.9231,0.96849,0.98197,0.80577,0.7889,0.40734,1.28278,0.0024265,0.0024265,0.0024265
155,2177.57,0.60973,0.38282,1.07296,0.93307,0.9511,0.9795,0.80082,0.79824,0.40693,1.28983,0.002377,0.002377,0.002377
156,2191.34,0.60483,0.37113,1.06205,0.94256,0.96292,0.98131,0.80944,0.77496,0.39804,1.27091,0.0023275,0.0023275,0.0023275
157,2205.29,0.60844,0.37762,1.06505,0.93397,0.96828,0.97693,0.80968,0.78247,0.40114,1.278,0.002278,0.002278,0.002278
158,2219.1,0.6004,0.37116,1.06552,0.92978,0.96577,0.98041,0.81309,0.78453,0.40349,1.28283,0.0022285,0.0022285,0.0022285
159,2233.33,0.60111,0.37241,1.0652,0.92136,0.978,0.98267,0.81371,0.78017,0.39897,1.27231,0.002179,0.002179,0.002179
160,2247.43,0.60532,0.38324,1.07061,0.93258,0.95844,0.98007,0.81546,0.78949,0.39993,1.28791,0.0021295,0.0021295,0.0021295
161,2261.55,0.59497,0.37293,1.05705,0.92335,0.97555,0.98173,0.81202,0.78577,0.38926,1.2792,0.00208,0.00208,0.00208
162,2275.36,0.59377,0.37634,1.06332,0.93177,0.96836,0.98207,0.81266,0.77864,0.39396,1.27425,0.0020305,0.0020305,0.0020305
163,2288.95,0.59498,0.3685,1.05923,0.92952,0.96735,0.98206,0.81505,0.78169,0.40595,1.27446,0.001981,0.001981,0.001981
164,2302.59,0.59533,0.36897,1.06303,0.9399,0.95586,0.97834,0.81201,0.78434,0.39977,1.29394,0.0019315,0.0019315,0.0019315
165,2316.38,0.59167,0.37054,1.06039,0.9335,0.96102,0.98009,0.81487,0.77875,0.39376,1.27731,0.001882,0.001882,0.001882
166,2330.14,0.58001,0.35406,1.04823,0.94631,0.95355,0.98164,0.81806,0.77573,0.39821,1.27412,0.0018325,0.0018325,0.0018325
