                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,      train/loss_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,      train/loss_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
61,0.82921,0.58274,1.3052,8.468245,0.89742,0.60306,1.369,9.08568,0.89695,0.92176,0.96908,0.76103,0.83171,0.49054,1.3854,0.85753,0.40811,1.4376,0.0070795,0.0070795,0.0070795
62,0.83636,0.57103,1.31,8.523215,0.90542,0.56515,1.365,9.120725,0.91688,0.89006,0.97086,0.76158,0.82741,0.47952,1.3723,0.84092,0.3958,1.3996,0.00703,0.00703,0.00703
63,0.82838,0.57089,1.3039,8.454145,0.89292,0.5574,1.3541,9.00675,0.88812,0.93159,0.9677,0.74911,0.83667,0.479,1.3852,0.86025,0.39989,1.4062,0.0069805,0.0069805,0.0069805
64,0.82121,0.56276,1.2998,8.390155,0.88856,0.56051,1.342,8.957455,0.88451,0.95502,0.97221,0.75113,0.84096,0.46958,1.4067,0.86194,0.39387,1.422,0.006931,0.006931,0.006931
65,0.82996,0.57128,1.3068,8.47054,0.89277,0.56562,1.3453,8.996535,0.90692,0.92905,0.96877,0.74834,0.84884,0.46493,1.394,0.87,0.40758,1.4211,0.0068815,0.0068815,0.0068815
66,0.82923,0.56772,1.3041,8.459235,0.90281,0.57285,1.3551,9.09015,0.87819,0.9166,0.96311,0.75297,0.82448,0.46878,1.3736,0.84574,0.42518,1.4017,0.006832,0.006832,0.006832
67,0.81977,0.55234,1.288,8.356445,0.88666,0.54638,1.3421,8.93629,0.87094,0.94045,0.96215,0.74852,0.81854,0.4746,1.3623,0.83699,0.44575,1.3951,0.0067825,0.0067825,0.0067825
68,0.80612,0.56354,1.2791,8.24632,0.87151,0.55755,1.3429,8.82945,0.9054,0.88998,0.96347,0.75191,0.83203,0.44938,1.3699,0.8496,0.42778,1.4079,0.006733,0.006733,0.006733
69,0.80894,0.56599,1.2847,8.277095,0.8818,0.56369,1.3421,8.908495,0.91879,0.90465,0.96788,0.75973,0.81072,0.47201,1.3563,0.82912,0.40886,1.3934,0.0066835,0.0066835,0.0066835
70,0.79784,0.54376,1.2717,8.16323,0.85566,0.53484,1.3209,8.66622,0.88869,0.93703,0.96559,0.75595,0.84096,0.45219,1.388,0.85023,0.40026,1.4042,0.006634,0.006634,0.006634
71,0.80913,0.55223,1.2878,8.27629,0.87256,0.55577,1.3394,8.831185,0.90039,0.92421,0.96961,0.75731,0.82493,0.46326,1.3595,0.84698,0.43824,1.3845,0.0065845,0.0065845,0.0065845
72,0.7959,0.53834,1.2673,8.13937,0.86481,0.53685,1.3249,8.74185,0.93915,0.90572,0.97363,0.7595,0.82451,0.45789,1.3684,0.84731,0.39158,1.3998,0.006535,0.006535,0.006535
73,0.79488,0.54305,1.2717,8.140675,0.86327,0.55502,1.3247,8.739085,0.91037,0.94368,0.96947,0.76337,0.80013,0.45279,1.3389,0.82353,0.38629,1.3689,0.0064855,0.0064855,0.0064855
74,0.78314,0.52538,1.2708,8.04244,0.84314,0.52737,1.3151,8.559885,0.89102,0.92665,0.96765,0.76419,0.80806,0.47117,1.3611,0.82789,0.41765,1.3993,0.006436,0.006436,0.006436
75,0.79366,0.54362,1.2749,8.13661,0.8544,0.55709,1.3271,8.677195,0.92687,0.91932,0.9694,0.7636,0.81961,0.44386,1.3793,0.83747,0.39209,1.4052,0.0063865,0.0063865,0.0063865
