                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,         train/loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
83,0.8034,0.55048,1.2411,8.16239,0.91131,0.94377,0.97607,0.76251,0.83876,0.5017,1.317,0.005941,0.005941,0.005941
84,0.81001,0.55516,1.23,8.197655,0.92553,0.93643,0.97147,0.76249,0.82956,0.50208,1.3069,0.0058915,0.0058915,0.0058915
85,0.80429,0.54271,1.2367,8.15858,0.91968,0.9291,0.97468,0.76754,0.82831,0.49193,1.314,0.005842,0.005842,0.005842
86,0.80517,0.54254,1.2427,8.174095,0.89759,0.9511,0.97081,0.75946,0.8326,0.50619,1.3024,0.0057925,0.0057925,0.0057925
87,0.79278,0.53916,1.2194,8.04453,0.92113,0.94377,0.97494,0.76164,0.83691,0.48317,1.3061,0.005743,0.005743,0.005743
88,0.80551,0.53778,1.2328,8.159415,0.91886,0.94144,0.97404,0.75781,0.82655,0.50043,1.3142,0.0056935,0.0056935,0.0056935
89,0.79328,0.53754,1.2232,8.05317,0.93555,0.91932,0.97483,0.769,0.82392,0.49525,1.2976,0.005644,0.005644,0.005644
90,0.8052,0.53464,1.2377,8.16287,0.93091,0.92421,0.97372,0.76577,0.82678,0.49127,1.3127,0.0055945,0.0055945,0.0055945
91,0.80069,0.538,1.2411,8.135825,0.9107,0.94756,0.97457,0.75869,0.83368,0.4955,1.3219,0.005545,0.005545,0.005545
92,0.7976,0.54163,1.2323,8.101265,0.92133,0.92665,0.97044,0.75946,0.83555,0.48824,1.3201,0.0054955,0.0054955,0.0054955
93,0.79618,0.53813,1.233,8.089915,0.9019,0.94866,0.97338,0.76346,0.83428,0.50051,1.3251,0.005446,0.005446,0.005446
94,0.78612,0.53475,1.2263,8.002725,0.91485,0.91936,0.9728,0.76511,0.83386,0.49483,1.3175,0.0053965,0.0053965,0.0053965
95,0.78379,0.53006,1.2194,7.972555,0.91094,0.95599,0.97718,0.76744,0.84538,0.49706,1.3146,0.005347,0.005347,0.005347
96,0.78231,0.53678,1.2213,7.967665,0.91094,0.95034,0.97272,0.77449,0.82809,0.47946,1.2901,0.0052975,0.0052975,0.0052975
97,0.77725,0.52738,1.215,7.915565,0.92588,0.94678,0.9772,0.75568,0.84694,0.47735,1.3298,0.005248,0.005248,0.005248
98,0.77245,0.52034,1.2068,7.863745,0.92531,0.93897,0.97598,0.77503,0.82227,0.47268,1.3081,0.0051985,0.0051985,0.0051985
99,0.7764,0.52853,1.2206,7.918165,0.9243,0.93888,0.97783,0.7732,0.82454,0.47599,1.3054,0.005149,0.005149,0.005149
100,0.76908,0.50591,1.2043,7.827505,0.93947,0.93399,0.9802,0.76541,0.84183,0.47817,1.3162,0.0050995,0.0050995,0.0050995
101,0.7759,0.5197,1.2191,7.90775,0.93157,0.93192,0.97664,0.75582,0.82805,0.49722,1.3122,0.00505,0.00505,0.00505
102,0.76191,0.51608,1.2056,7.780765,0.91769,0.9541,0.97497,0.76484,0.8292,0.47662,1.3179,0.0050005,0.0050005,0.0050005
103,0.77301,0.51775,1.2174,7.88255,0.93046,0.94874,0.97858,0.77081,0.81118,0.46822,1.2994,0.004951,0.004951,0.004951
104,0.75462,0.49781,1.1999,7.708405,0.93028,0.94866,0.97562,0.7695,0.81986,0.46718,1.315,0.0049015,0.0049015,0.0049015
105,0.76229,0.50812,1.2036,7.776635,0.93236,0.93643,0.98059,0.76567,0.83282,0.46807,1.3218,0.004852,0.004852,0.004852
106,0.75624,0.50429,1.2037,7.729495,0.9344,0.94034,0.9776,0.7629,0.82841,0.47228,1.3155,0.0048025,0.0048025,0.0048025
107,0.75964,0.51167,1.205,7.760635,0.92182,0.95355,0.97749,0.76938,0.83042,0.4534,1.3298,0.004753,0.004753,0.004753
108,0.75291,0.50977,1.2028,7.70591,0.91538,0.96088,0.97842,0.76587,0.8194,0.48392,1.3121,0.0047035,0.0047035,0.0047035
109,0.74905,0.49488,1.1942,7.656615,0.94737,0.92419,0.9797,0.7648,0.83013,0.47582,1.328,0.004654,0.004654,0.004654
110,0.74189,0.49587,1.1903,7.59756,0.92845,0.95173,0.97612,0.77732,0.80307,0.47086,1.2958,0.0046045,0.0046045,0.0046045
111,0.75005,0.49487,1.1981,7.66996,0.9337,0.94621,0.97481,0.77024,0.8284,0.47276,1.3196,0.004555,0.004555,0.004555
112,0.74231,0.49024,1.1833,7.587395,0.92923,0.96304,0.97971,0.77323,0.80824,0.4575,1.2901,0.0045055,0.0045055,0.0045055
113,0.7404,0.48849,1.1843,7.573695,0.9254,0.95844,0.97236,0.7823,0.78669,0.46367,1.2772,0.004456,0.004456,0.004456
114,0.75498,0.4914,1.2024,7.71165,0.91918,0.94621,0.97674,0.77184,0.81186,0.47348,1.2968,0.0044065,0.0044065,0.0044065
115,0.735,0.48617,1.1811,7.527235,0.93814,0.94377,0.98198,0.77743,0.81871,0.44866,1.3102,0.004357,0.004357,0.004357
116,0.72827,0.47538,1.1714,7.456815,0.93682,0.94132,0.97768,0.76828,0.81782,0.46724,1.3064,0.0043075,0.0043075,0.0043075
117,0.73524,0.48462,1.1792,7.52541,0.92711,0.95355,0.98034,0.77054,0.83374,0.46196,1.3222,0.004258,0.004258,0.004258
118,0.72514,0.47975,1.1696,7.432825,0.93419,0.93711,0.98137,0.77476,0.81275,0.4503,1.3055,0.0042085,0.0042085,0.0042085
119,0.72891,0.47323,1.1687,7.45649,0.92289,0.9511,0.98245,0.77641,0.81032,0.45913,1.2994,0.004159,0.004159,0.004159
120,0.72206,0.47757,1.1758,7.417935,0.92467,0.93643,0.97993,0.77403,0.8012,0.45695,1.2928,0.0041095,0.0041095,0.0041095
121,0.73335,0.47789,1.1744,7.50067,0.95494,0.91443,0.9815,0.77819,0.80747,0.44781,1.2929,0.00406,0.00406,0.00406
122,0.73003,0.47427,1.1684,7.46496,0.9131,0.9511,0.98173,0.7817,0.79083,0.45653,1.2729,0.0040105,0.0040105,0.0040105
123,0.72143,0.46999,1.1669,7.39607,0.91185,0.94377,0.97309,0.77063,0.80377,0.47342,1.2783,0.003961,0.003961,0.003961
124,0.73088,0.4768,1.1705,7.47575,0.91637,0.94621,0.97986,0.77781,0.8165,0.45433,1.2858,0.0039115,0.0039115,0.0039115
125,0.70873,0.46866,1.1628,7.294005,0.92218,0.95616,0.97881,0.77927,0.8105,0.44201,1.3106,0.003862,0.003862,0.003862
126,0.72026,0.46052,1.1696,7.38661,0.9105,0.95844,0.97668,0.77973,0.8102,0.45504,1.3071,0.0038125,0.0038125,0.0038125
127,0.70595,0.46831,1.1576,7.26518,0.92767,0.94132,0.97612,0.77172,0.80501,0.45912,1.2818,0.003763,0.003763,0.003763
128,0.71024,0.4571,1.1561,7.2895,0.91635,0.95599,0.97659,0.77641,0.80671,0.44875,1.2922,0.0037135,0.0037135,0.0037135
129,0.7069,0.45713,1.1554,7.263415,0.92754,0.95355,0.97791,0.7721,0.80141,0.45379,1.2909,0.003664,0.003664,0.003664
130,0.69973,0.45786,1.1564,7.211505,0.93145,0.9291,0.97495,0.77368,0.79141,0.46512,1.276,0.0036145,0.0036145,0.0036145
131,0.70546,0.44889,1.1566,7.250295,0.94236,0.93399,0.97815,0.77774,0.79965,0.45825,1.2794,0.003565,0.003565,0.003565
132,0.70374,0.45211,1.1509,7.230455,0.92911,0.93643,0.97862,0.7773,0.80519,0.45655,1.2921,0.0035155,0.0035155,0.0035155
133,0.7017,0.45406,1.1558,7.22348,0.93389,0.94132,0.97852,0.77732,0.80866,0.44629,1.298,0.003466,0.003466,0.003466
134,0.69773,0.45202,1.1518,7.186685,0.90248,0.97066,0.98264,0.77839,0.80538,0.45188,1.2835,0.0034165,0.0034165,0.0034165
135,0.70493,0.44599,1.1554,7.24307,0.91658,0.95844,0.97946,0.77772,0.80279,0.45269,1.2904,0.003367,0.003367,0.003367
136,0.6909,0.44549,1.1448,7.121695,0.9218,0.94132,0.97859,0.77777,0.78724,0.44732,1.2769,0.0033175,0.0033175,0.0033175
137,0.69476,0.44728,1.147,7.15484,0.90661,0.97317,0.98006,0.77902,0.80587,0.45204,1.2991,0.003268,0.003268,0.003268
138,0.69961,0.45379,1.1553,7.20692,0.92637,0.95359,0.97674,0.77582,0.79078,0.44951,1.2832,0.0032185,0.0032185,0.0032185
139,0.69306,0.44476,1.1455,7.13858,0.9064,0.95844,0.98092,0.77795,0.8058,0.45424,1.2946,0.003169,0.003169,0.003169
140,0.67892,0.43914,1.1384,7.01907,0.91711,0.94684,0.97734,0.77237,0.81291,0.46134,1.289,0.0031195,0.0031195,0.0031195
141,0.67959,0.42602,1.1327,7.008985,0.90748,0.95844,0.97694,0.77802,0.80651,0.45635,1.288,0.00307,0.00307,0.00307
142,0.68581,0.4403,1.1378,7.070425,0.91676,0.95599,0.97481,0.77091,0.80317,0.45609,1.2813,0.0030205,0.0030205,0.0030205
143,0.68337,0.44658,1.14,7.058565,0.9221,0.95503,0.98004,0.7779,0.80692,0.45273,1.2851,0.002971,0.002971,0.002971
144,0.674,0.43438,1.1255,6.96044,0.92315,0.9398,0.9781,0.77709,0.80096,0.44615,1.2883,0.0029215,0.0029215,0.0029215
145,0.68715,0.43395,1.1379,7.07745,0.93311,0.95497,0.98005,0.77575,0.80304,0.45093,1.2932,0.002872,0.002872,0.002872
