               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,      train/loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
134,1.0559,0.71529,1.5469,10.597245,0.92162,0.96577,0.98283,0.80248,1.0049,0.52138,1.7511,0.0034165,0.0034165,0.0034165
135,1.0494,0.71719,1.5637,10.574645,0.93299,0.95319,0.98249,0.80927,0.99707,0.52601,1.7424,0.003367,0.003367,0.003367
136,1.0573,0.70681,1.5408,10.594355,0.9188,0.96831,0.98243,0.80365,0.97507,0.53762,1.7385,0.0033175,0.0033175,0.0033175
137,1.0585,0.70235,1.5505,10.615675,0.91157,0.97066,0.98274,0.80439,0.97248,0.53001,1.7314,0.003268,0.003268,0.003268
138,1.0716,0.71482,1.5534,10.72451,0.94746,0.93888,0.98303,0.81079,0.95779,0.52898,1.7074,0.0032185,0.0032185,0.0032185
139,1.0316,0.6913,1.528,10.37465,0.93553,0.95801,0.98252,0.80795,0.96324,0.52591,1.7202,0.003169,0.003169,0.003169
140,1.0318,0.68772,1.5138,10.35306,0.91652,0.95355,0.98126,0.80636,0.96587,0.51294,1.7226,0.0031195,0.0031195,0.0031195
141,1.0285,0.69645,1.5241,10.348125,0.93721,0.95599,0.98159,0.80553,0.97203,0.53495,1.7232,0.00307,0.00307,0.00307
142,1.0279,0.68995,1.5164,10.328825,0.94345,0.94866,0.98116,0.8065,0.97155,0.52469,1.7268,0.0030205,0.0030205,0.0030205
143,1.04,0.69555,1.5335,10.448025,0.94416,0.94866,0.98071,0.80824,0.96424,0.5195,1.7232,0.002971,0.002971,0.002971
144,1.0382,0.68855,1.5344,10.432375,0.95318,0.94571,0.9826,0.80657,0.96199,0.51786,1.7143,0.0029215,0.0029215,0.0029215
145,1.0355,0.67588,1.5139,10.37504,0.92438,0.95844,0.98099,0.80636,0.97137,0.53427,1.7303,0.002872,0.002872,0.002872
