               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,      train/loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
111,1.2457,0.88813,1.6821,12.309965,0.9242,0.91443,0.97564,0.77569,1.0348,0.61854,1.75,0.004555,0.004555,0.004555
112,1.2539,0.90207,1.6932,12.395085,0.9063,0.9511,0.97782,0.77826,1.047,0.58864,1.779,0.0045055,0.0045055,0.0045055
113,1.2621,0.90452,1.6802,12.43831,0.91723,0.94377,0.9803,0.78088,1.0137,0.59586,1.7485,0.004456,0.004456,0.004456
114,1.2427,0.87086,1.677,12.27118,0.89267,0.95576,0.97667,0.77159,1.0526,0.61461,1.775,0.0044065,0.0044065,0.0044065
115,1.2232,0.85151,1.6578,12.086455,0.93962,0.92176,0.9774,0.77676,1.0538,0.59526,1.7898,0.004357,0.004357,0.004357
116,1.2586,0.8905,1.7092,12.44855,0.93511,0.93888,0.98014,0.78368,1.014,0.58342,1.737,0.0043075,0.0043075,0.0043075
117,1.2454,0.86774,1.6746,12.28627,0.94202,0.91371,0.97985,0.77748,1.0498,0.59312,1.7757,0.004258,0.004258,0.004258
118,1.2341,0.88513,1.6872,12.229115,0.93582,0.92665,0.97979,0.77635,1.0276,0.58165,1.7517,0.0042085,0.0042085,0.0042085
119,1.2377,0.88126,1.6873,12.25433,0.91604,0.9511,0.97819,0.77975,1.0353,0.58571,1.7503,0.004159,0.004159,0.004159
120,1.2401,0.87442,1.6807,12.25901,0.92701,0.93155,0.98021,0.7843,1.0202,0.57595,1.7323,0.0041095,0.0041095,0.0041095
121,1.2332,0.87182,1.6703,12.19036,0.89066,0.95599,0.97645,0.77732,1.0514,0.60166,1.7773,0.00406,0.00406,0.00406
122,1.2215,0.85659,1.6708,12.095745,0.94932,0.91198,0.98017,0.78269,1.05,0.57517,1.7762,0.0040105,0.0040105,0.0040105
123,1.2362,0.85813,1.6829,12.224915,0.92105,0.95355,0.9791,0.78657,1.0289,0.58353,1.7507,0.003961,0.003961,0.003961
124,1.2217,0.85863,1.6672,12.092865,0.86861,0.98044,0.97675,0.79126,1.0063,0.59385,1.7272,0.0039115,0.0039115,0.0039115
125,1.2109,0.84494,1.6629,11.99857,0.90426,0.93888,0.97898,0.78722,1.0048,0.5803,1.7217,0.003862,0.003862,0.003862
126,1.2194,0.83221,1.6515,12.038855,0.92428,0.95501,0.9791,0.78778,1.0033,0.57318,1.7213,0.0038125,0.0038125,0.0038125
127,1.2024,0.85747,1.6612,11.938535,0.93102,0.92402,0.97727,0.78466,1.0447,0.57632,1.7653,0.003763,0.003763,0.003763
128,1.2312,0.86183,1.6793,12.183865,0.91692,0.93888,0.97611,0.78193,1.0081,0.60439,1.7161,0.0037135,0.0037135,0.0037135
129,1.2285,0.85064,1.6537,12.11962,0.91074,0.94793,0.97929,0.78863,1.0185,0.56832,1.7272,0.003664,0.003664,0.003664
130,1.2039,0.85471,1.6471,11.927255,0.91175,0.94377,0.97907,0.79075,1.0081,0.55922,1.7348,0.0036145,0.0036145,0.0036145
131,1.2143,0.85404,1.6515,12.01152,0.89684,0.96822,0.98067,0.78792,1.0279,0.56696,1.7425,0.003565,0.003565,0.003565
132,1.2039,0.84534,1.644,11.91792,0.94223,0.9172,0.97661,0.78707,1.0201,0.58598,1.733,0.0035155,0.0035155,0.0035155
133,1.2075,0.85448,1.6522,11.96179,0.92673,0.92772,0.98014,0.78308,1.036,0.56619,1.7524,0.003466,0.003466,0.003466
134,1.2035,0.85018,1.6534,11.93144,0.92642,0.93643,0.98056,0.78176,1.0541,0.56031,1.7849,0.0034165,0.0034165,0.0034165
135,1.1963,0.83638,1.6689,11.89379,0.94231,0.92176,0.97839,0.79056,1.0355,0.57573,1.747,0.003367,0.003367,0.003367
136,1.1972,0.83007,1.6428,11.858235,0.88542,0.978,0.97822,0.78676,1.0246,0.55401,1.7555,0.0033175,0.0033175,0.0033175
137,1.2017,0.8333,1.6555,11.91265,0.88394,0.96837,0.97793,0.78162,1.0211,0.5671,1.7489,0.003268,0.003268,0.003268
138,1.2132,0.84959,1.6569,12.009145,0.91218,0.93961,0.98053,0.78619,1.0243,0.56103,1.7637,0.0032185,0.0032185,0.0032185
139,1.1847,0.81713,1.6363,11.748265,0.88566,0.96822,0.97956,0.78217,1.0393,0.57349,1.7567,0.003169,0.003169,0.003169
140,1.1863,0.81401,1.6235,11.739505,0.90441,0.95844,0.97799,0.78438,1.0343,0.57082,1.752,0.0031195,0.0031195,0.0031195
141,1.1783,0.81816,1.6306,11.69223,0.93276,0.92665,0.98043,0.79393,1.0139,0.57194,1.7431,0.00307,0.00307,0.00307
142,1.1817,0.81425,1.6223,11.703325,0.89968,0.96479,0.98059,0.79079,0.99227,0.56652,1.707,0.0030205,0.0030205,0.0030205
143,1.1942,0.8212,1.6433,11.83205,0.88898,0.97311,0.98044,0.78873,0.99198,0.56452,1.7186,0.002971,0.002971,0.002971
